model,metric,groupkfold,holdout,rolling
XGB,pr_auc,0.4891339231891007,0.5895889123534979,0.4205448125678723
XGB,top-20-precision,0.6799999999999999,0.85,0.5833333333333334
XGB,top-50-precision,0.584,0.76,0.49333333333333335
XGB,f1_score,0.43118777453198576,0.4661016949152542,0.37560292390694805
XGB,brier_score,0.1918812185525894,0.1813797950744629,0.20232221484184265
XGB,roc_auc,0.6855841760118391,0.728532460447354,0.6228057846227798
