기업명,연도,revenue_t1_scaled,cagr_2y_scaled,growth_recent_scaled,growth_acceleration_scaled,growth_volatility_scaled,operating_margin_scaled,capex_intensity_scaled,capex_trend_scaled,capex_vs_industry_scaled,debt_ratio_scaled,rnd_intensity_scaled,profitable_years,patent_count_5y,patent_count_recent,ipc_diversity,patent_register_rate,patent_citation_total,patent_citation_avg,patent_citation_age_adj_total,patent_citation_age_adj_avg,no_patent_flag,patent_emb_0,patent_emb_1,patent_emb_2,patent_emb_3,patent_emb_4,patent_emb_5,patent_emb_6,patent_emb_7,patent_emb_8,patent_emb_9,patent_emb_10,patent_emb_11,patent_emb_12,patent_emb_13,patent_emb_14,patent_emb_15,patent_emb_16,patent_emb_17,patent_emb_18,patent_emb_19,patent_emb_20,patent_emb_21,patent_emb_22,patent_emb_23,patent_emb_24,patent_emb_25,patent_emb_26,patent_emb_27,patent_emb_28,patent_emb_29,patent_emb_30,patent_emb_31,patent_emb_32,patent_emb_33,patent_emb_34,patent_emb_35,patent_emb_36,patent_emb_37,patent_emb_38,patent_emb_39,patent_emb_40,patent_emb_41,patent_emb_42,patent_emb_43,patent_emb_44,patent_emb_45,patent_emb_46,patent_emb_47,patent_emb_48,patent_emb_49,target_year,target_growth
(주)미래에이피앤,2019,-0.521826931,-0.193193677,-0.66146601,-0.708627357,-0.195661881,0.14243916,-0.171005819,-0.227630304,0.13863822,-0.2941196,-0.102146938,2,-0.47602311,-0.446310052,-0.748172227,-0.884358544,-0.449195011,-0.650272248,-0.441838218,-0.575997932,1,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,2020,0
(주)보명시스템,2019,-1.382090589,-0.811040688,-0.152496482,0.474270508,-0.21987968,0.168953814,1.670306534,-0.227630304,0.13863822,-0.210848119,2.623358826,2,-0.47602311,-0.446310052,-0.748172227,-0.884358544,-0.449195011,-0.650272248,-0.441838218,-0.575997932,1,0.349994799,0.150024532,0.453715762,0.509089015,0.366437745,0.492284533,0.348592215,0.459502803,0.527527234,0.339386069,0.415619159,0.534128796,0.53237029,0.538141276,0.435994317,0.419990798,0.462284779,0.450011692,0.455606576,0.42109515,0.428371245,0.569830055,0.415109255,0.464587788,0.43456444,0.475501803,0.53343034,0.48668092,0.483055164,0.410825902,0.467605931,0.431605724,0.386645433,0.59070066,0.494839867,0.490027992,0.438565853,0.463669476,0.416705236,0.445508285,0.416291604,0.393396472,0.400704116,0.452471284,0.475577398,0.417273384,0.472706019,0.427849876,0.42268448,0.48710346,2020,1
(주)서영쎄미텍,2019,-0.558479446,1.20674359,0.35858046,-0.219735131,-0.19650652,0.152620619,-0.118993242,-0.227630304,0.13863822,-0.0488392,-0.025158057,2,-0.47602311,-0.446310052,-0.748172227,-0.884358544,-0.449195011,-0.650272248,-0.441838218,-0.575997932,1,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,2020,0
(주)선진파워텍,2019,-0.669592674,-0.441679597,5.593048368,4.608853828,1.832202536,0.209166449,-0.033119627,-0.187073372,0.156642584,-0.288490227,-0.077373927,2,-0.47602311,-0.446310052,-0.748172227,-0.884358544,-0.449195011,-0.650272248,-0.441838218,-0.575997932,1,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,2020,1
(주)세화테크놀로지,2019,-0.716370402,-0.41062942,-0.521216266,-0.268766316,-0.252013003,0.154589082,-0.096108462,-0.187073372,0.156642584,-0.211188113,-0.133917043,2,-0.47602311,-0.446310052,-0.748172227,-0.884358544,-0.449195011,-0.650272248,-0.441838218,-0.575997932,1,0.340041098,0.68390467,0.43821408,0.706524843,0.506688366,0.405510302,0.621722618,0.302937799,0.561532052,0.233550267,0.537752147,0.507933817,0.449684734,0.506055904,0.551801864,0.484992502,0.353727405,0.299859754,0.357241947,0.506514379,0.437958448,0.307998038,0.42018366,0.615032507,0.422941373,0.46003393,0.44998099,0.383195512,0.523949492,0.413567483,0.450062426,0.333625451,0.296074079,0.446425161,0.498667118,0.354145453,0.329104464,0.407155052,0.421248913,0.561469756,0.319283416,0.481752371,0.46582651,0.476792078,0.497914806,0.554337967,0.5618126,0.487363671,0.462424877,0.478787768,2020,0
(주)써치앤델브,2019,-0.487200503,-0.149548049,0.815669855,1.117466595,-0.072298345,0.145017828,-0.091073373,-0.187073372,0.156642584,0.130126055,-0.1293972,2,-0.47602311,-0.446310052,-0.748172227,-0.884358544,-0.449195011,-0.650272248,-0.441838218,-0.575997932,1,0.349994799,0.150024532,0.453715762,0.509089015,0.366437745,0.492284533,0.348592215,0.459502803,0.527527234,0.339386069,0.415619159,0.534128796,0.53237029,0.538141276,0.435994317,0.419990798,0.462284779,0.450011692,0.455606576,0.42109515,0.428371245,0.569830055,0.415109255,0.464587788,0.43456444,0.475501803,0.53343034,0.48668092,0.483055164,0.410825902,0.467605931,0.431605724,0.386645433,0.59070066,0.494839867,0.490027992,0.438565853,0.463669476,0.416705236,0.445508285,0.416291604,0.393396472,0.400704116,0.452471284,0.475577398,0.417273384,0.472706019,0.427849876,0.42268448,0.48710346,2020,1
(주)앤아이윈,2019,-0.186933338,1.115638534,-0.227672834,-1.147540587,0.045999898,0.102905942,-0.162621181,-0.227630304,0.13863822,-0.159497668,-0.089736019,2,-0.242238245,-0.162468066,-0.17801972,1.360374898,-0.255826875,0.125808356,-0.225043195,0.167227471,0,0.563133361,0.523009975,0.35826824,0.48217588,0.503838293,0.490412424,0.330284007,0.439717236,0.341821729,0.57032466,0.512333736,0.47764123,0.493486295,0.41391311,0.392283181,0.479070334,0.419916633,0.500349396,0.501368326,0.452773444,0.334731275,0.421191068,0.484004491,0.417282315,0.451188023,0.501386419,0.41999528,0.467440838,0.427512323,0.390572726,0.526668867,0.460312208,0.492540074,0.431835373,0.442940952,0.448484335,0.489214541,0.458277364,0.451231413,0.539678854,0.470069071,0.454517219,0.383851112,0.437159166,0.50028842,0.525061032,0.413897974,0.481749197,0.460554434,0.483450188,2020,1
(주)에버메이트,2019,-0.507694625,0.197086201,-0.48324906,-0.743410864,-0.183218013,0.16080041,-0.199583153,-0.227630304,0.13863822,-0.15512042,-0.144447034,2,-0.47602311,-0.446310052,-0.748172227,-0.884358544,-0.449195011,-0.650272248,-0.441838218,-0.575997932,1,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,0.45039328,2020,0
(주)에스엠지머티리얼즈,2019,-0.97075122,-1.337526568,-1.021999883,-0.301145077,-0.070561437,0.172393684,0.922024715,-0.155844078,0.342009826,-0.139948945,0.180984851,1,-0.47602311,-0.446310052,-0.748172227,-0.884358544,-0.449195011,-0.650272248,-0.441838218,-0.575997932,1,0.349994799,0.150024532,0.453715762,0.509089015,0.366437745,0.492284533,0.348592215,0.459502803,0.527527234,0.339386069,0.415619159,0.534128796,0.53237029,0.538141276,0.435994317,0.419990798,0.462284779,0.450011692,0.455606576,0.42109515,0.428371245,0.569830055,0.415109255,0.464587788,0.43456444,0.475501803,0.53343034,0.48668092,0.483055164,0.410825902,0.467605931,0.431605724,0.386645433,0.59070066,0.494839867,0.490027992,0.438565853,0.463669476,0.416705236,0.445508285,0.416291604,0.393396472,0.400704116,0.452471284,0.475577398,0.417273384,0.472706019,0.427849876,0.42268448,0.48710346,2020,0
(주)에스피에스글로벌,2019,-1.921577929,-2.143470124,-1.563707847,-0.668479285,1.695608158,0.25940053,0.139499741,-0.187073372,0.156642584,-0.28985511,0.077581106,1,-0.47602311,-0.446310052,-0.748172227,-0.884358544,-0.449195011,-0.650272248,-0.441838218,-0.575997932,1,0.349994799,0.150024532,0.453715762,0.509089015,0.366437745,0.492284533,0.348592215,0.459502803,0.527527234,0.339386069,0.415619159,0.534128796,0.53237029,0.538141276,0.435994317,0.419990798,0.462284779,0.450011692,0.455606576,0.42109515,0.428371245,0.569830055,0.415109255,0.464587788,0.43456444,0.475501803,0.53343034,0.48668092,0.483055164,0.410825902,0.467605931,0.431605724,0.386645433,0.59070066,0.494839867,0.490027992,0.438565853,0.463669476,0.416705236,0.445508285,0.416291604,0.393396472,0.400704116,0.452471284,0.475577398,0.417273384,0.472706019,0.427849876,0.42268448,0.48710346,2020,0
