기업명,연도,predicted_top30,predicted_probability,y,일치여부
주식회사 라온하이테크,2023,0,0.2847707140659611,0.0,1
주식회사 럼플리어,2023,1,0.5403457987306839,0.0,0
주식회사 레어템,2023,1,0.6706513337819058,1.0,1
주식회사 브러쉬이십일,2023,0,0.2598429957202748,0.0,1
주식회사 성신(ENG),2023,1,0.4757744522527022,0.0,0
주식회사 소닉스비오엠,2023,0,0.2163012105953459,0.0,1
주식회사 소프트피브이,2023,1,0.6069965797227708,0.0,0
주식회사 씨디큐세미텍,2023,1,0.6429444008501544,0.0,0
주식회사 알에스랩,2023,0,0.2431541252385955,0.0,1
주식회사 에프티시스템,2023,0,0.2251720005042547,0.0,1
주식회사 엔에스엔텍,2023,0,0.1370198612299823,0.0,1
주식회사 엠아이티에스솔루션,2023,1,0.4298296884472015,0.0,0
주식회사 온세미로이엔지,2023,0,0.171806639072447,0.0,1
주식회사 와트레인,2023,0,0.3058162932313717,0.0,1
주식회사 우신세미텍,2023,0,0.1444833908684743,0.0,1
주식회사 제이앤미,2023,0,0.1377609544050773,0.0,1
주식회사 차고엔지니어링,2023,0,0.3064999032756791,0.0,1
주식회사 참신테크,2023,0,0.2651773811174123,0.0,1
주식회사 칩스케이(ChipsK),2023,0,0.3157103626788388,0.0,1
주식회사 티디엔에이,2023,1,0.6621989715500766,0.0,0
주식회사 프렘투,2023,1,0.6567138349432727,1.0,1
주식회사 플렉시고,2023,1,0.589442549836363,1.0,1
주식회사 한우리시스템,2023,0,0.3512256456062359,0.0,1
주식회사넥스트론,2023,1,0.4339124328343482,0.0,0
주식회사디에스티엘,2023,0,0.3997419299632322,0.0,1
주식회사엠이티,2023,0,0.1201446330037345,0.0,1
주식회사예전테크,2023,0,0.2103696085186268,0.0,1
주식회사원형레이저,2023,0,0.1548823326493145,0.0,1
주식회사티에스엔이,2023,0,0.3600280976823701,0.0,1
코오롱인더스트리(주),2023,0,0.1825141134993163,0.0,1
태승엔지니어링,2023,1,0.5290187361403274,0.0,0
태종레이져,2023,0,0.3717732498920286,0.0,1
티엔티에스 주식회사,2023,1,0.4571276634939374,0.0,0
프레임웍스(주),2023,0,0.2558568327656977,0.0,1
플람 주식회사,2023,0,0.2259834296540785,0.0,1
피앤엘세미,2023,0,0.3367102368659933,0.0,1
피에스엠피 주식회사,2023,0,0.1679956290029358,0.0,1
하나엘티주식회사,2023,0,0.14498376869979,0.0,1
한양티에스,2023,0,0.3983086003798828,1.0,0
휴비오 주식회사,2023,1,0.4254789028817647,1.0,1
