기업명,연도,revenue_t1,cagr_2y,growth_recent,growth_acceleration,growth_volatility,profitable_years,capex_intensity,capex_trend,capex_vs_industry,operating_margin,debt_ratio,rnd_intensity,growth_rate,target_year,target_top30,predicted_proba,predicted_target
(주)나노젯코리아,2023,4644236154.0,-0.1861072798807742,0.0785746478193385,0.4644109817232039,0.810445533289064,2,1.80215107920199,0.8115230068402159,744406985.5439558,0.0743133007357403,2.141293399791705,1.0188689218407907,0.023336199195352014,2024,0.0,0.578915,1
(주)다산이엔지,2023,9572263736.0,-0.1171578620944583,-0.0606667754295991,0.1095848242430445,0.1603077151622671,2,5.366686275974542,0.5773389363556416,4253116979.409088,0.0384988270448548,0.912005167140988,0.7509944661223864,0.060201043336568505,2024,0.0,0.57018805,1
(주)대백인터내쇼날,2023,7739000000.0,0.0609000974975322,0.1128846706931263,0.1015408661556045,0.1307458103129097,2,1.0814853594779688,0.8115230068402159,744406985.5439558,0.0392815609251841,0.9951594533029612,0.61143143597364,0.1301201705646724,2024,0.0,0.5421853,1
(주)대성이엔티,2023,9496492264.0,0.058198063771983,0.0283217218715712,-0.0606206960059201,0.0929552016860135,2,0.6714124501707697,0.0772690384722563,561794365.3881283,0.0285302842847658,1.5597402198826076,0.3001308263899408,-0.0261640223666485,2024,0.0,0.5419611,1
(주)대양이티에스,2023,9389330822.0,-0.0014069256307444,0.0202056300607336,0.0427672599952024,0.6435971414024472,0,0.8913963471591906,0.8115230068402159,744406985.5439558,-0.0050399480961008,6.759805449674986,0.5039622069671708,0.03825672370158184,2024,0.0,0.559902,1
(주)대영프로파일,2023,2530000000.0,0.0692261054275613,0.0459641288049013,-0.0470412936984878,0.3051433885761134,2,2.5201830588932808,0.0772690384722563,561794365.3881283,0.0790513833992094,1.4549335863377608,1.1265573403162057,0.1785201581027669,2024,0.0,0.54096377,1
(주)동성이엔씨,2023,2496014714.0,-0.159892668920514,0.1111599177709292,0.4759855234773105,1.1075450045204291,2,3.3531914495757253,0.8115230068402159,744406985.5439558,0.1494025086904996,0.4097664914191196,1.8957692262225985,0.05666937146108508,2024,0.0,0.5748916,1
(주)레이저앱스,2023,1560134980.0,0.4682963998312901,0.2714629415703973,-0.4241384379670669,4.295483503270306,0,5.364673764958465,0.8115230068402159,744406985.5439558,-0.0359477178058016,0.3760016803682382,3.032986211872514,0.22516462966556916,2024,1.0,0.54425853,1
(주)룩센테크놀러지,2023,469150000.0,0.201575130406457,0.0962831759147182,-0.2206966206662415,0.7415946962998989,2,13.590670657572206,0.0772690384722563,561794365.3881283,0.3941788340616007,1.3372747129014826,6.07522129596078,0.300087447511457,2024,1.0,0.53348196,0
(주)멘토티앤씨,2023,6593267000.0,-0.024597837038804,-0.253479732789855,-0.5279386072487295,0.2198476151215831,1,0.9670567169507924,0.0772690384722563,561794365.3881283,-0.0894215265360859,0.6412486603054782,0.43228797969201,0.4414228145166881,2024,1.0,0.5417483,1
(주)미래에이피앤,2023,4949913000.0,0.056205181464892,0.0159999195396023,-0.0820015309514596,0.2080795357261051,2,1.6908610710935728,0.8115230068402159,744406985.5439558,0.0306880141125712,1.3239630444103287,0.955949707196874,-0.25862070707101315,2024,0.0,0.5423249,1
(주)보명시스템,2023,1989710000.0,0.2993110848327849,0.2411430909715823,-0.1190621161877283,0.469894892889932,2,4.20644978263164,0.8115230068402159,744406985.5439558,0.0650371159616225,3.877247412861938,2.378169624216594,-0.027784953586201033,2024,0.0,0.5382301,0
(주)서영쎄미텍,2023,5720000000.0,-0.110396006955813,-0.5591009389839635,-1.3540588656722607,0.6762169817760878,2,1.463219440034965,0.8115230068402159,744406985.5439558,0.0587412587412587,1.1265822784810129,0.8272496298951049,-0.10035146048951049,2024,0.0,0.5677271,1
(주)선진파워텍,2023,3081000000.0,-0.2557971665793951,-0.4545312589351268,-0.4698742393413825,2.338244042764065,1,2.069478461213892,0.0772690384722563,561794365.3881283,-0.2340149302174618,3.322972972972973,0.9250860340798442,0.40281596884128534,2024,1.0,0.5852069,1
(주)세화테크놀로지,2023,3311798871.0,-0.1025599974802949,-0.0276479229357885,0.1440527633482581,0.1500651631923333,2,1.9252567524049984,0.0772690384722563,561794365.3881283,0.0561131159344489,1.4411218085566653,0.8606168979517114,0.059818454476428196,2024,0.0,0.56381655,1
(주)써치앤델브,2023,4604984000.0,-0.0500146759731202,0.0930311603972429,0.2673711531029695,0.3763192424152464,2,1.3846004978518929,0.0772690384722563,561794365.3881283,0.0445921201897769,8.43434064492374,0.618935933545046,0.014426108755209555,2024,0.0,0.5533062,1
(주)앤아이윈,2023,9083000000.0,0.1096666340912662,0.0411508482347546,-0.1415404408355853,0.4202015559695997,1,0.9214593412969284,0.8115230068402159,744406985.5439558,-0.0165143674997247,1.808728448275862,0.5209587012000441,0.16503831333259944,2024,0.0,0.52462,0
(주)에버메이트,2023,18696642000.0,0.5754253248572314,0.3345643510100649,-0.5251923196390789,0.3616554518019059,2,0.4476533912881254,0.8115230068402159,744406985.5439558,0.0363452966580843,2.425840102193702,0.2530865105616292,-0.595522623313855,2024,0.0,0.55095255,1
(주)에스엠지머티리얼즈,2023,1208631499.0,0.0424183257023456,-0.257073934153854,-0.7197174133841481,4.221722978298566,2,42.50372132821602,0.5773389363556416,4253116979.409088,0.0853594971547237,1.839565488274212,5.947815442463493,-0.22680004221865813,2024,0.0,0.53899395,0
