기업명,연도,bsnsr_reg_no,crno,dart_corp_code,sectors,field,매출액,영업이익,당기순이익,자산,부채,자본,연구개발비,CAPEX,유형자산_당기,유형자산_전기,유형자산_증감,종업원_합계
(주)경인양행,2024,137-81-00562,1.10E+12,102113.0,반도체,소재,374000000000.0,24226048531.0,16247818016.0,545000000000.0,280000000000.0,265000000000.0,6379000000.0,24273790891.0,,,,484.0
(주)구비테크,2019,514-81-77614,1.65E+12,1154706.0,반도체,부품,21055354979.0,2666236068.0,2595239195.0,11312363937.0,6548501198.0,4763862739.0,502684193.0,5614803491.5,7684777375.0,7441243909.0,243533466.0,31.0
(주)구비테크,2020,514-81-77614,1.65E+12,1154706.0,반도체,부품,11631110418.0,374987029.5,305381785.0,16026097539.0,8112000000.0,5640000000.0,494698485.0,4469558765.0,,,,
(주)구비테크,2021,514-81-77614,1.65E+12,1154706.0,반도체,부품,14367604488.5,494852167.0,584796000.0,17806078865.0,8397462877.0,5768000000.0,584171865.5,9575632634.0,,,,
(주)구비테크,2022,514-81-77614,1.65E+12,1154706.0,반도체,부품,45022298790.0,513284455.0,640658619.0,21827078548.0,16067923441.0,5759155107.0,479756490.0,5618103880.0,15711822474.0,9040379386.0,6671443088.0,42.0
(주)구비테크,2023,514-81-77614,1.65E+12,1154706.0,반도체,부품,16414111648.0,1675806537.0,1168847958.0,26656097249.0,15573360044.0,11082737205.0,271593302.0,9965610885.5,19514841243.0,15711822474.0,3803018769.0,31.0
(주)구비테크,2024,514-81-77614,1.65E+12,1154706.0,반도체,부품,8355327763.0,-1086718326.0,-1301668563.0,23771643335.0,13990574693.0,9781068642.0,329844534.0,5200000000.0,18580310303.0,19514841243.0,934530940.0,31.0
(주)글로벌엔지니어링,2019,124-86-91005,1.10E+12,1560138.0,반도체,장비,11603793594.5,239167500.0,195000000.0,14491834267.5,6694802825.5,5124379478.5,531280049.0,1762301565.0,,,,
(주)글로벌엔지니어링,2020,124-86-91005,1.10E+12,1560138.0,반도체,장비,13804500000.0,251198099.5,244269782.0,16604885058.5,7770756692.5,6823924148.0,674021933.0,2524341798.0,,,,
(주)글로벌엔지니어링,2021,124-86-91005,1.10E+12,1560138.0,반도체,장비,15794000000.0,1415497596.0,1443678390.0,16234384521.0,3267351149.0,12967033372.0,325925086.0,2527998834.0,5975457852.0,1343015945.0,4632441907.0,33.0
(주)글로벌엔지니어링,2022,124-86-91005,1.10E+12,1560138.0,반도체,장비,20503000000.0,4445112901.0,3744631014.0,21557009702.0,5046968849.0,16510040853.0,311858151.0,2941119927.5,6540940083.0,5975457852.0,565482231.0,33.0
