pr_auc,top20_precision,top50_precision,f1,brier,n_estimators,learning_rate,num_leaves,max_depth,random_state
0.3463960373404043,0.3666666666666667,0.38000000000000006,0.24006680999215657,0.23388296038022494,200,0.03,15,-1,42
0.34323772763928173,0.3833333333333333,0.39333333333333337,0.2262251413975552,0.22922810034531635,200,0.03,15,5,42
0.33623925472705823,0.3499999999999999,0.36000000000000004,0.23977039848802115,0.2466160813367861,200,0.03,31,-1,42
0.3433598943547295,0.43333333333333335,0.3666666666666667,0.20776142149986132,0.22940311440042774,200,0.03,31,5,42
0.33804270901857275,0.35000000000000003,0.3866666666666667,0.2516271653257955,0.24922452164432626,200,0.05,15,-1,42
0.3446400231715491,0.3833333333333333,0.40666666666666673,0.24127500907173918,0.24067339575403582,200,0.05,15,5,42
0.33253227742896113,0.31666666666666665,0.37333333333333335,0.2557179821330765,0.2625592875525089,200,0.05,31,-1,42
0.3395212395626424,0.3666666666666667,0.39333333333333337,0.24095964164190034,0.24270463851084648,200,0.05,31,5,42
0.3404835441360862,0.3499999999999999,0.4066666666666667,0.2554461762829277,0.25179583443519843,400,0.03,15,-1,42
0.3392095732526284,0.3666666666666667,0.38666666666666666,0.24892010737266387,0.246975016471595,400,0.03,15,5,42
0.3334829949909412,0.35000000000000003,0.3666666666666667,0.24588361220902047,0.27008790832134144,400,0.03,31,-1,42
0.3409353819804386,0.35000000000000003,0.39999999999999997,0.24679449767186257,0.2465627873021218,400,0.03,31,5,42
0.33886972122999054,0.35000000000000003,0.37333333333333335,0.2587634363335298,0.27027960676830426,400,0.05,15,-1,42
0.3398624052321908,0.3666666666666667,0.3866666666666667,0.25543047407642305,0.26259984884931487,400,0.05,15,5,42
0.33367740512410027,0.3333333333333333,0.38000000000000006,0.258517130231901,0.2839168829937167,400,0.05,31,-1,42
0.3382639847940397,0.35000000000000003,0.3866666666666667,0.2502924748207767,0.265048461052071,400,0.05,31,5,42
