pr_auc,top20_precision,top50_precision,f1,brier,n_estimators,max_depth,min_samples_leaf,random_state,n_jobs
0.3371825749190877,0.4333333333333333,0.38000000000000006,0.08194718244029935,0.21147795191789276,200,5,1,42,-1
0.33832178341127567,0.4166666666666667,0.38000000000000006,0.08144082347904004,0.21137268140191767,200,5,3,42,-1
0.3311564882663046,0.3333333333333333,0.35333333333333333,0.12820213706258107,0.21820955668829034,200,10,1,42,-1
0.3377169226377473,0.38333333333333336,0.37333333333333335,0.10232182968267155,0.2158640144301405,200,10,3,42,-1
0.3363268253432454,0.4333333333333333,0.38000000000000006,0.07746592699130196,0.21127521324302767,400,5,1,42,-1
0.34168484231006385,0.4166666666666667,0.3866666666666667,0.06940211982228789,0.21105383816011428,400,5,3,42,-1
0.33589998880218985,0.31666666666666665,0.3666666666666667,0.13113322856643966,0.21740048068898332,400,10,1,42,-1
0.33899403253627813,0.4000000000000001,0.35333333333333333,0.1014966015072578,0.21532256552812942,400,10,3,42,-1
