pr_auc,top20_precision,top50_precision,f1,brier,n_estimators,max_depth,min_samples_leaf,random_state,n_jobs
0.33307691088848895,0.3666666666666667,0.3666666666666667,0.0683989407547304,0.21189880918911821,200,5,1,42,-1
0.3356291897041274,0.39999999999999997,0.3666666666666667,0.0768918543109351,0.21186458982419812,200,5,3,42,-1
0.33029711839624865,0.3499999999999999,0.36000000000000004,0.1199074884206403,0.21721552637318356,200,10,1,42,-1
0.3322695878776781,0.3833333333333333,0.3466666666666667,0.10385840444004134,0.21567247749378693,200,10,3,42,-1
0.3352847611901512,0.4000000000000001,0.3666666666666667,0.06878006425044896,0.2113273883864467,400,5,1,42,-1
0.3367663355067016,0.4166666666666667,0.37333333333333335,0.07270327652493258,0.21164967915722552,400,5,3,42,-1
0.3307732384794532,0.3499999999999999,0.37333333333333335,0.14360844716427232,0.21695842144169467,400,10,1,42,-1
0.3345276069926851,0.3833333333333333,0.37333333333333335,0.10897130595198712,0.21509848179342206,400,10,3,42,-1
