pr_auc,top20_precision,top50_precision,f1,brier,n_estimators,max_depth,min_samples_leaf,random_state,n_jobs
0.36338086804195824,0.4,0.39,0.06343100343755115,0.20833767096396064,200,5,1,42,-1
0.36304129784871764,0.35,0.38,0.04525288376220053,0.2081591671183607,200,5,3,42,-1
0.3528240312749128,0.35,0.37,0.17882117882117882,0.2158311168472259,200,10,1,42,-1
0.3614217409362872,0.325,0.44,0.1785327988801934,0.21049176486726662,200,10,3,42,-1
0.3622134738588045,0.4,0.39,0.06383684297794728,0.20840819021146473,400,5,1,42,-1
0.3670136878390924,0.425,0.38,0.06997181230310065,0.20763583727553306,400,5,3,42,-1
0.35590564680664993,0.4,0.38,0.17124877810361683,0.21502669575298122,400,10,1,42,-1
0.36085490046637486,0.4,0.41000000000000003,0.18054701407994822,0.21040917536036802,400,10,3,42,-1
