pr_auc,top20_precision,top50_precision,f1,brier,n_estimators,learning_rate,num_leaves,max_depth,random_state
0.3261193418383519,0.43333333333333335,0.37333333333333335,0.1755443421388628,0.22366792870077346,200,0.03,15,-1,42
0.33537782095604,0.43333333333333335,0.38000000000000006,0.14671052631578949,0.21915343515214233,200,0.03,15,5,42
0.32874857158151655,0.38333333333333336,0.36000000000000004,0.18386527230748337,0.22792205243965272,200,0.03,31,-1,42
0.3393809376076929,0.45,0.38000000000000006,0.15055986218776918,0.2190611863615354,200,0.03,31,5,42
0.3299339574073663,0.4833333333333334,0.3666666666666667,0.20166735951616502,0.229635552835134,200,0.05,15,-1,42
0.3371064842946177,0.43333333333333335,0.3666666666666667,0.1797961485778745,0.22479690563561508,200,0.05,15,5,42
0.32901258528424226,0.4166666666666667,0.3466666666666667,0.20446541713420618,0.23600208611604812,200,0.05,31,-1,42
0.33532407300912165,0.45,0.3666666666666667,0.17957624207054282,0.22434350353299362,200,0.05,31,5,42
0.32271518966282237,0.45,0.35333333333333333,0.19329200211553155,0.23318828757053142,400,0.03,15,-1,42
0.3335960102549216,0.43333333333333335,0.37333333333333335,0.18724867724867722,0.22675288701308075,400,0.03,15,5,42
0.32474234811087777,0.35000000000000003,0.3333333333333333,0.20527472527472526,0.23929322191161861,400,0.03,31,-1,42
0.3359417119041244,0.45,0.37333333333333335,0.18704020155548254,0.22669302977263675,400,0.03,31,5,42
0.32511619060517943,0.4166666666666667,0.34,0.18753501747774992,0.24155950794002343,400,0.05,15,-1,42
0.32549953676448856,0.4166666666666667,0.3666666666666667,0.19442528346971436,0.2343000191108108,400,0.05,15,5,42
0.32322529804463446,0.35000000000000003,0.36000000000000004,0.20641236485457592,0.2495261857553482,400,0.05,31,-1,42
0.32669767458423227,0.3833333333333333,0.3466666666666667,0.19357790783646647,0.23391491718972698,400,0.05,31,5,42
