accuracy,roc_auc,f1,avg_precision,brier,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,eval_metric,random_state
0.6770386266094421,0.5843119227398368,0.20104342921601803,0.3625033919694147,0.2202310776495454,200,4,0.03,0.8,0.8,logloss,42
0.677038626609442,0.5731300547992233,0.24860502192108408,0.35682663766944966,0.23062022752433645,200,4,0.05,0.8,0.8,logloss,42
0.674892703862661,0.5701503763173257,0.23280504693029697,0.3519302198583313,0.2307862457890914,200,6,0.03,0.8,0.8,logloss,42
0.6727467811158798,0.5692099762700858,0.257498223169865,0.3519448590673506,0.24130223712902038,200,6,0.05,0.8,0.8,logloss,42
0.6748927038626609,0.5753353613492629,0.2556875815099261,0.3569111345986897,0.23523555486478226,400,4,0.03,0.8,0.8,logloss,42
0.677038626609442,0.5714259237477486,0.267445719161847,0.3538889296840543,0.24527405209043096,400,4,0.05,0.8,0.8,logloss,42
0.6706008583690988,0.5682786118071981,0.2530665403741416,0.3491477279849894,0.24458115804102035,400,6,0.03,0.8,0.8,logloss,42
0.6695278969957081,0.5703769879122313,0.2701494214133243,0.3519880362641278,0.2543098127704934,400,6,0.05,0.8,0.8,logloss,42
