pr_auc,top20_precision,top50_precision,f1,brier,n_estimators,learning_rate,num_leaves,max_depth,random_state
0.32575690244640193,0.39999999999999997,0.37333333333333335,0.14542171481826655,0.22208135714337826,200,0.03,15,-1,42
0.3234934523806811,0.3833333333333333,0.35333333333333333,0.11015281015281014,0.22046264124289192,200,0.03,15,5,42
0.32315586246770933,0.3499999999999999,0.36000000000000004,0.181597991434057,0.22614497531382902,200,0.03,31,-1,42
0.31906975977115,0.3666666666666667,0.3466666666666667,0.11723497449545354,0.22103735849194617,200,0.03,31,5,42
0.32070184171510147,0.39999999999999997,0.34,0.15560518026327166,0.22978271091971814,200,0.05,15,-1,42
0.3212719030410401,0.4166666666666667,0.36666666666666664,0.13319405501493578,0.2257798800591533,200,0.05,15,5,42
0.31766247567444716,0.3666666666666667,0.3333333333333333,0.18630820025604744,0.23491070066516243,200,0.05,31,-1,42
0.31774139584694794,0.3666666666666667,0.36000000000000004,0.1143150153174703,0.22600573969486756,200,0.05,31,5,42
0.32097814002572916,0.43333333333333335,0.3466666666666667,0.16878028312102442,0.2325157239419511,400,0.03,15,-1,42
0.3220602523118402,0.3666666666666667,0.3666666666666667,0.12286460997851907,0.22693106554064604,400,0.03,15,5,42
0.3136776984327842,0.3833333333333333,0.3466666666666667,0.18922801066902895,0.23807771630575236,400,0.03,31,-1,42
0.32055335921818373,0.3666666666666667,0.3333333333333333,0.1325867284786266,0.22756587187879793,400,0.03,31,5,42
0.316240640493882,0.3666666666666667,0.34,0.1736013986013986,0.2403383632303507,400,0.05,15,-1,42
0.31816180433433944,0.3833333333333333,0.3266666666666667,0.1517487680278378,0.2347936931895432,400,0.05,15,5,42
0.31838826027592765,0.3833333333333333,0.36000000000000004,0.20813374777540228,0.24743767832458943,400,0.05,31,-1,42
0.317456593094277,0.35000000000000003,0.3333333333333333,0.15230338062708004,0.23465688336621907,400,0.05,31,5,42
