accuracy,roc_auc,f1,avg_precision,brier,n_estimators,max_depth,min_samples_leaf,random_state,n_jobs
0.7582260371959944,0.5283848137453393,0.012232415902140673,0.26893524112099904,0.1834789177554578,200,5,1,42,-1
0.7575107296137339,0.5158595506648997,0.0,0.2623405684012867,0.18380086365841788,200,5,3,42,-1
0.7489270386266095,0.5443387910497816,0.0688032326751839,0.2831663424037708,0.1871911877940676,200,10,1,42,-1
0.7539341917024319,0.5392333490751245,0.017147388244622853,0.27764270313274275,0.18569352750203297,200,10,3,42,-1
0.7560801144492132,0.5319998908324595,0.0,0.2690060334479349,0.18344134721187902,400,5,1,42,-1
0.7567954220314735,0.522213414269821,0.0,0.26500865348536745,0.18377849037596508,400,5,3,42,-1
0.7474964234620888,0.5415701769521717,0.06275657850461,0.28516483549329275,0.18747484857885546,400,10,1,42,-1
0.7560801144492131,0.5290966890444045,0.011710323574730355,0.27310320455913883,0.18588091775163615,400,10,3,42,-1
