기업명,dart_corp_code,crno,연도,설립일,업종코드,주소,연구개발비,유형자산_당기,유형자산_전기,종업원_합계,정규직_수,계약직_수,자산,자본,부채,CAPEX,영업이익,당기순이익,매출액
(주)세다,00621502,1101110032469.0,2024,20000306,42,,0,,,0,0,0,,,,,,,
(주)세미즈,01450187,1358110159971.0,2024,20081124,29271,,0,,,0,0,0,,,,,,,
(주)세코닉스,00351630,1158110006449.0,2024,19881224,273,,0,,,572,525,47,282709433585,137353782046,145355651539,20401267868,14423020838,9978400264,462708965937
(주)셀코스,01024308,1101114587395.0,2024,20070115,29272,,0,,,0,0,0,,,,,,,
(주)셈텍,01212578,1101117870630.0,2024,20001107,292,,0,,,0,0,0,,,,,,,
(주)솔리더스,00546308,1101112243535.0,2024,20010521,68122,,0,,,0,0,0,,,,,,,
(주)스카,00446071,1101110034176.0,2024,19991220,55101,,0,,,0,0,0,,,,,,,
(주)시트라,01828698,1101111067944.0,2024,20200201,31322,,0,,,0,0,0,,,,,,,
(주)신안시스템,01409776,1201110340290.0,2024,20110101,29271,,0,,,0,0,0,,,,,,,
(주)신일테크,01297320,1101114198035.0,2024,20170808,68112,,0,,,0,0,0,,,,,,,
(주)싸이맥스,00659161,1311110153525.0,2024,20051202,29271,,0,,,233,229,4,227402140471,173668408972,53733731499,2044754455,23405364176,15412505405,165058416302
(주)쎄미하우,00655174,1211110098608.0,2024,20020712,2612,,0,,,0,0,0,,,,,,,
(주)쎌텍,01828795,1101111884728.0,2024,20160429,26224,,0,,,0,0,0,,,,,,,
(주)쏘닉스,00561723,1341110078407.0,2024,20001024,26129,,0,,,94,94,0,,,,,,,
(주)씨앤아이테크놀로지,01174922,1341110234017.0,2024,20100321,29271,,0,,,0,0,0,,,,,,,
(주)씨에스케이,00594299,1101111622524.0,2024,19970725,29271,,0,,,0,0,0,,,,,,,
(주)씨에스피,00451879,1101111631575.0,2024,19980512,13211,,0,,,0,0,0,,,,,,,
(주)씨엠티엑스,01529982,2841110111983.0,2024,20130118,26299,,0,,,0,0,0,,,,,,,
(주)씨티에스,01225633,1101110174815.0,2024,20030605,29272,,0,,,0,0,0,,,,,,,
(주)아론,00818010,1101110917819.0,2024,20000711,29271,,0,,,0,0,0,,,,,,,
(주)아센디아,01011386,1345110118859.0,2024,20071017,29271,,0,,,0,0,0,,,,,,,
(주)아이비스,01745191,1101110949416.0,2024,20100222,58221,,0,,,0,0,0,,,,,,,
(주)아이엔에스,00415725,1101110175467.0,2024,19990920,58221,,0,,,0,0,0,,,,,,,
(주)아이컴포넌트,00407285,1301110060490.0,2024,20000512,26211,,0,,,123,123,0,,,,,,,
(주)알파플러스,01130566,1101113235375.0,2024,20000510,29272,,0,,,0,0,0,,,,,,,
(주)애플티,01376025,1311110119204.0,2024,20040626,29271,,0,,,0,0,0,,,,,,,
(주)앤피에스,01471870,1101112244575.0,2024,20180501,26299,,0,,,0,0,0,,,,,,,
(주)에스아이,00247665,1101110088420.0,2024,19840516,68112,,0,,,0,0,0,,,,,,,
(주)에스앤에스텍,00411048,1101115817402.0,2024,20010222,2629,,0,,,299,299,0,297031688485,246847048853,50184639632,19789678112,29478688017,30313647619,176013891367
(주)에스에스피,00859053,1101111503451.0,2024,19960620,29271,,0,,,0,0,0,,,,,,,
(주)에스에이엠,00416432,1101110707674.0,2024,20000515,68112,,0,,,0,0,0,,,,,,,
(주)에스엔에프,00968847,1101110506216.0,2024,20060501,3399,,0,,,0,0,0,,,,,,,
