기업명,dart_corp_code,crno,연도,설립일,업종코드,주소,연구개발비,유형자산_당기,유형자산_전기,종업원_합계,정규직_수,계약직_수,자산,부채,자본,CAPEX,매출액,영업이익,당기순이익
(주) 디이에스,01824355,1101110939951.0,2020,20080904,29271,,0,,,0,0,0,,,,,,,
(주) 아이에스티,00592875,1101110921323.0,2020,19990901,72129,,0,,,0,0,0,,,,,,,
(주) 아인스시스템,00872902,1101111631070.0,2020,19990108,46510,,0,,,0,0,0,,,,,,,
(주) 에스 이 티,01016035,,2020,20010926,63112,,0,,,0,0,0,,,,,,,
(주) 에스제이케이,00366793,1101111259484.0,2020,19950209,467,,0,,,0,0,0,55342769953,42063071979,13279697974,113667425,4124848200,-5488223417,-10923131398
(주) 코미코,00997812,1211110309956.0,2020,20130813,29271,,0,,,559,559,0,315096092801,145592857786,169503235015,27807318087,200828350060,35580989385,23314453239
(주) 포톤,01047707,1101111724271.0,2020,20141023,262,,0,,,39,39,0,101142229052,63490930054,37651298998,26193023047,91793146691,-4318361567,-16895381096
(주)경인양행,00102113,1101112148131.0,2020,19771014,20132,,0,,,616,595,21,505102150581,276720395053,228381755528,41955581734,329312078179,3369846654,-7581553453
(주)광성테크,01416536,1201110449323.0,2020,20170817,25922,,0,,,0,0,0,,,,,,,
(주)구비테크,01154706,1648110088331.0,2020,20110701,26519,,0,,,0,0,0,,,,,,,
(주)그린테크놀로지,00817613,1101112481242.0,2020,20031208,2611,,0,,,0,0,0,,,,,,,
(주)글로벌엔지니어링,01560138,1101114335398.0,2020,20010206,27216,,0,,,0,0,0,,,,,,,
(주)금륜,01296084,1101111971012.0,2020,20100810,38,,0,,,0,0,0,,,,,,,
(주)기연,00843496,1101110126816.0,2020,20070322,28303,,0,,,0,0,0,,,,,,,
(주)나노에이스,01017496,1615110088827.0,2020,20070425,26,,0,,,0,0,0,,,,,,,
(주)나노엑스,01599176,1345110479649.0,2020,20171226,29272,,0,,,0,0,0,,,,,,,
(주)나노테크,01071494,1101112721911.0,2020,19990901,25911,,0,,,0,0,0,,,,,,,
(주)나노텍,00631271,1101110560410.0,2020,20020827,28902,,0,,,0,0,0,,,,,,,
(주)나인텍,01301492,1101111419343.0,2020,20000724,25924,,0,,,0,0,0,,,,,,,
(주)남원정공,01628380,1355110282900.0,2020,20150701,29271,,0,,,0,0,0,,,,,,,
(주)네올,00472951,1101110719108.0,2020,19900920,59141,,0,,,0,0,0,,,,,,,
(주)네패스,00227333,1101111474389.0,2020,19901227,261,,0,,,583,569,14,801694287852,541088884320,260605403532,6218124921,343559677401,-3566837922,-62661070422
(주)넥사,01956733,1101113867821.0,2020,20250901,68224,,0,,,0,0,0,,,,,,,
(주)넥스틴,01080252,1344110044981.0,2020,20100623,29271,,0,,,46,0,0,54259282642,8371606856,45887675786,2524341798,49445117659,18099074344,14712171660
(주)뉴파워프라즈마,00521390,1101111784952.0,2020,19991007,29271,,0,,,306,306,0,476930042307,275242356094,201687686213,46037526777,108798640957,10912037251,30343389957
(주)다산,00637956,1101110174914.0,2020,20041231,29172,,0,,,0,0,0,,,,,,,
