기업명,dart_corp_code,crno,연도,설립일,업종코드,주소,연구개발비,유형자산_당기,유형자산_전기,종업원_합계,정규직_수,계약직_수,자산,부채,자본,CAPEX,매출액,영업이익,당기순이익
(주)넥사,01956733,1101113867821.0,2019,20250901,68224,,0,,,0,0,0,,,,,,,
(주)넥스틴,01080252,1344110044981.0,2019,20100623,29271,,0,,,0,0,0,,,,,,,
(주)뉴파워프라즈마,00521390,1101111784952.0,2019,19991007,29271,,0,,,293,293,0,150094736051,14946111087,135148624964,10270605246,60165999447,3652653897,5296882588
(주)다산,00637956,1101110174914.0,2019,20041231,29172,,0,,,0,0,0,,,,,,,
(주)대성하이텍,01160859,1211110163336.0,2019,20071101,22299,,0,,,0,0,0,,,,,,,
(주)대신테크,01073191,1101111217581.0,2019,20040923,30,,0,,,0,0,0,,,,,,,
(주)대영테크,00453169,1101110774855.0,2019,19970610,46492,,0,,,0,0,0,,,,,,,
(주)대원에프엔씨,00579953,1101112183236.0,2019,20010302,29271,,0,,,0,0,0,,,,,,,
(주)도우인시스,01380578,1501110134952.0,2019,20100325,26211,,0,,,0,0,0,,,,,,,
(주)동원파츠,00784184,1101111420746.0,2019,19970615,29271,,0,,,0,0,0,,,,,,,
(주)동원하이텍,00968528,1201110625858.0,2019,20120905,2629,,0,,,0,0,0,,,,,,,
(주)동진쎄미켐,00118804,1201110003848.0,2019,19730710,20129,,0,,,1179,1165,14,840710797540,480348778356,360362019184,75457077937,875254175031,104867455148,58693161574
(주)두원테크,00366535,1101111644403.0,2019,19980207,28519,,0,,,0,0,0,,,,,,,
(주)드림솔,01808375,1101111349178.0,2019,20081126,29271,,0,,,0,0,0,,,,,,,
(주)디바이스,00624509,1101110656970.0,2019,20021001,29271,,0,,,151,151,0,,,,,,,
(주)디스텍,01552777,1101111154957.0,2019,20080808,2629,,0,,,0,0,0,,,,,,,
(주)디에프텍,00505046,1101112564866.0,2019,20020710,33999,,0,,,0,0,0,,,,,,,
(주)라온테크,01463668,1101111257339.0,2019,20160225,25924,,0,,,0,0,0,,,,,,,
(주)라온텍,00965512,1101114285684.0,2019,20091013,262,,0,,,0,0,0,,,,,,,
(주)랩터,01950410,1101112255754.0,2019,20220603,64999,,0,,,0,0,0,,,,,,,
(주)루켄테크놀러지스,00886792,1348110145822.0,2019,20071002,289,,0,,,95,95,0,,,,,,,
(주)리더스앤글로벌,01923656,1348110262288.0,2019,20130129,29271,,0,,,0,0,0,,,,,,,
(주)리빙케어,01834653,1101114973601.0,2019,20090101,28909,,0,,,0,0,0,,,,,,,
(주)린텍,01652873,1101110159437.0,2019,20100607,26129,,0,,,0,0,0,,,,,,,
(주)메티스,00607274,1101111860918.0,2019,19990723,29271,,0,,,0,0,0,,,,,,,
(주)무진산업,01376432,1158110001605.0,2019,20130703,29291,,0,,,0,0,0,,,,,,,
(주)바맥스,00621104,1101112485450.0,2019,19960724,2612,,0,,,0,0,0,,,,,,,
(주)바코솔루션,01832804,1348110387713.0,2019,20161108,29271,,0,,,0,0,0,,,,,,,
(주)밸류엔지니어링,01350489,1101111671133.0,2019,19990401,29271,,0,,,0,0,0,,,,,,,
(주)보부하이테크,00611268,1101111019987.0,2019,19940317,29271,,0,,,0,0,0,,,,,,,
(주)브이에스아이,00976235,1355110266772.0,2019,19991220,292,,0,,,0,0,0,,,,,,,
(주)비츠로셀,00154718,1101110548771.0,2019,19871031,28201,,0,83744746678,84508341332,375,372,3,163957501704,22512356564,141445145140,-763594654,133438198953,25333744961,20081747481
